"名称","住所","ID","住所1","住所2","住所3","電話","FAX","利用時間","階数","定休日","駐車場","敷地内の状況および施設入口","誘導施設","案内設備","昇降設備","トイレ","公衆電話","その他の設備","備考","カテゴリー","分類"
"黒江（ＪＲ）","海南市岡田横山","30018","和歌山県","海南市","岡田横山","073-483-4712","","","地上２階 ","","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り<br>◎点字案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：３箇所<br>◎オストメイト対応便所 有り<br>◎ベビーベッド 有り","","","","その他","その他"
"海南（ＪＲ）","海南市名高","30019","和歌山県","海南市","名高","０７３－４８２－０３１９","","","地上２階 ","","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り<br>◎点字案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）<br>◎エスカレーター 有り","◎障害者（車椅子）用便所　有り：３箇所<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：４箇所<br>◎オストメイト対応便所 有り","◎車椅子用電話　有り：１箇所","◎車椅子の常備　有り：１台（駅舎窓口内）<br>◎キャッシュコーナー（時間外出入口の段差がないもの）　有り<br>◎点字付自動支払機　有り","","その他","その他"
"九度山文化スポーツセンター","和歌山県伊都郡九度山町入郷637-6","30020","和歌山県","伊都郡","九度山町入郷637-6","0736-54-3311","","９：００～２１：００","地上２階 ","月曜日　12/29～1/3","◎一般駐車場　有り：１０２台<br>◎障害者用駐車場　有り：３台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：５箇所<br>◎手すり付便所　有り：２箇所<br>◎オストメイト対応便所 有り<br>◎ベビーベッド 有り","","◎車椅子の常備　有り：４台（２Ｆ談話室）","◎障害者用エレベーターは無いが、車椅子用昇降機が階段の手すりに設置されている。","文化施設","文化施設"
"遍照光院","和歌山県伊都郡高野町高野山575","30021","和歌山県","伊都郡","高野町高野山575","0736-56-2124","","終日","地上２階 ","12/28～1/7","◎一般駐車場　有り：１５台","◎施設入口への車椅子利用：可","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：２０箇所<br>◎手すり付便所　有り：１箇所","","","・車椅子は、事前連絡すれば用意できます。（観光協会から無料レンタル）<br>・居室１８室（浴室なし）<br>・浴室は人的対応が出来るので、車椅子の方でも入浴可能です。","宿泊施設","宿泊施設"
"高野山（南海電鉄）　","和歌山県伊都郡高野町高野山","30022","和歌山県","伊都郡","高野町高野山","0736-56-2305","","","地上１階 ","","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：６箇所<br>◎オストメイト対応便所 有り<br>◎ベビーベッド 有り<br>※障害者用便所内にオストメイト対応設備、多目的ベッドがあります。","","","","その他","その他"
"極楽橋（南海電鉄）","和歌山県伊都郡高野町高野山","30023","和歌山県","伊都郡","高野町高野山","0736-56-2305（高野山駅）","","","地上１階 ","","","","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：１０箇所<br>◎オストメイト対応便所 有り<br>◎ベビーベッド 有り<br>※障害者用便所内にオストメイト対応設備、多目的ベッドがあります。","","◎車椅子の常備　有り：１台（駅舎窓口内）","","その他","その他"
"北栄北団地","和歌山県有田郡湯浅町湯浅2702-6","30024","和歌山県","有田郡","湯浅町湯浅2702-6","","","","地上５階 ","","◎一般駐車場　有り<br>◎障害者用駐車場　有り","◎施設入口への車椅子利用：可","","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎洋式大便所　有り：３０箇所<br>◎手すり付便所　有り：３０箇所","","","・駐車場については、駐車スペースがあります。<br>・問合せは湯浅町建築課管理係　電話 0737-64-1124まで","その他","その他"
"林間田園都市（南海電鉄）","和歌山県橋本市三石台一丁目","30025","和歌山県","橋本市","三石台一丁目","0736-37-2600","","","地上３階 ","","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り<br>◎他の誘導設備：点字案内板設置","◎一般案内　有り<br>◎手話による案内　有り<br>◎点字案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）<br>◎エスカレーター 有り","◎障害者（車椅子）用便所　有り：１箇所<br>◎手すり付便所　有り：３箇所<br>◎オストメイト対応便所 有り<br>◎ベビーベッド 有り","","◎授乳室　有り：１室（駅舎内）<br>◎キャッシュコーナー（時間外出入口の段差がないもの）　有り","・障害者用便所、オストメイト対応設備、ベビーベッドは駅舎内にあります。<br>・ベビーベッドは多目的ベッドを使用。<br>・車椅子用改札口があります。（幅９０ｃｍ）","その他","その他"
"橋本（ＪＲ）","橋本市古佐田一丁目","30026","和歌山県","橋本市","古佐田一丁目","０７３６－３２－００３８","","","","","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り<br>◎他の誘導設備：点字案内板設置","◎一般案内　有り<br>◎手話による案内　有り<br>◎点字案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：７箇所<br>◎オストメイト対応便所 有り<br>◎ベビーチェア 有り<br>◎ベビーベッド 有り","","◎車椅子の常備　有り：１台（駅舎事務所内）","・駅舎内に障害者用便所、オストメイト対応設備完備、ベビーチェアは便所内。","その他","その他"
"橋本（南海電鉄）","和歌山県橋本市古佐田一丁目","30027","和歌山県","橋本市","古佐田一丁目","０７３６－３２－２３１０","","","地上２階 ","","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り<br>◎他の誘導設備：点字案内板設置","◎一般案内　有り<br>◎点字案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所<br>◎手すり付便所　有り：３箇所<br>◎オストメイト対応便所 有り<br>◎ベビーベッド 有り<br>※駅舎　ホームに障害者用便所・オストメイト対応設備があります。","","◎車椅子の常備　有り：１台（駅舎事務所内）","・車椅子用改札口があります。（幅８５ｃｍ）","その他","その他"
"御幸辻（南海電鉄）","和歌山県橋本市御幸辻","30028","和歌山県","橋本市","御幸辻","０７３６－３２－２３１０（橋本駅）","","","地上２階 ","","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り<br>◎手話による案内　有り<br>◎点字案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：２箇所<br>◎手すり付便所　有り：４箇所","","","駐車場建設中","その他","その他"
"辻本クリニック","和歌山県橋本市高野口町大野２３５－１","30029","和歌山県","橋本市","高野口町大野２３５－１","０７３６－４２－２５２８","","9:00～12:00 15:30～18:30 木・土午後休診","地上３階 ","日曜・祝日　木・土曜（午後休診）","◎一般駐車場　有り：２７台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：６台（１Ｆ廊下）","","医療施設","医療施設"
"湯浅簡易裁判所","和歌山県有田郡湯浅町湯浅１７９４－３１","30030","和歌山県","有田郡","湯浅町湯浅１７９４－３１","０７３７－６２－２４７３","","８：３０～１７：００","地上２階 ","土・日・祝祭日","◎一般駐車場　有り：９台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","◎一般案内　有り<br>◎点字案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所<br>◎ベビーベッド 有り","","◎車椅子の常備　有り：１台<br>◎観覧席（車椅子用）　有り：１席","","官公庁舎等","官公庁舎等"
"御霊学童保育施設","和歌山県有田郡有田川町庄切ﾚ池10-2","30032","和歌山県","有田郡","有田川町庄切ﾚ池10-2","0737-23-7501","","１３：００～１８：００（月～土）","地上１階 ","日・祝・12/31～1/3・8/13～8/15","◎一般駐車場　有り：１４台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：１箇所","","","","文化施設","文化施設"
"なぎの里球場","和歌山県有田郡有田川町熊井７１４－３","30033","和歌山県","有田郡","有田川町熊井７１４－３","0737-63-1111","","９：００～１７：００","地上２階 ","1/1～1/3","◎一般駐車場　有り：３００台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：４箇所","","◎観覧席（車椅子用）　有り","◎観覧席については、一塁側、三塁側、バックヤードに車椅子用観覧スペースがあります。<br>◎問合せ先　湯浅町教育委員会　0737-63-1111 湯浅城","文化施設","文化施設"
"藤並（ＪＲ）","和歌山県有田郡有田川町明王寺","30034","和歌山県","有田郡","有田川町明王寺","０７３７－５２－２０３８","","","地上２階 ","","◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り<br>◎他の誘導設備：有り","◎一般案内　有り<br>◎点字案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）<br>◎エスカレーター 有り","◎障害者（車椅子）用便所　有り：２箇所<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：２箇所<br>◎オストメイト対応便所 有り<br>◎ベビーチェア 有り<br>◎ベビーベッド 有り","","◎車椅子の常備　有り：１台<br>◎キャッシュコーナー（時間外出入口の段差のないもの）　有り<br>◎点字付自動支払機　有り","","その他","その他"
"城山郵便局","和歌山県有田郡有田川町二川３３７","30035","和歌山県","有田郡","有田川町二川３３７","0737-23-0050","","９：００～１６：００","地上１階 ","土・日・祝日","◎一般駐車場　有り：１台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","◎一般案内　有り","","","","◎キャッシュコーナー（時間外出入口の段差のないもの）　有り<br>◎点字付自動支払機　有り","","金融機関_郵便局","金融機関_郵便局"
"和歌山地方法務局田辺支局","和歌山県田辺市文里1-11-9","30036","和歌山県","田辺市","文里1-11-9","0739-22-0698","","８：３０～１７：１５","地上５階 ","土・日・祝祭日・12/29～1/3","◎一般駐車場　有り：４２台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示）","◎障害者（車椅子）用便所　有り：１箇所","","◎車椅子の常備　有り：１台（1Ｆ入口）","・障害者用便所は、１Ｆ便所にあります。","官公庁舎等","官公庁舎等"
"白良浜公衆便所","和歌山県西牟婁郡白浜町３０７９－２０","30038","和歌山県","西牟婁郡","白浜町３０７９－２０","0739-43-6588","","","地上１階 ","","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎手すり付便所　有り：４箇所<br>◎ベビーチェア 有り<br>◎ベビーベッド 有り","","","・入って正面に障害者用便所があり、その中にﾍﾞﾋﾞｰﾁｪｱ、ﾍﾞﾋﾞｰﾍﾞｯﾄﾞあります。","トイレ","トイレ"
"おおじゃの森公衆トイレ","和歌山県東牟婁郡古座川町佐田本川筋上ミ西ベラ７８４－１","30040","和歌山県","東牟婁郡","古座川町佐田本川筋上ミ西ベラ７８４－１","0735-72-0180","","","地上１階 ","","◎一般駐車場　有り：２１台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：３箇所<br>◎オストメイト対応便所 有り","","","","トイレ","トイレ"
"和歌山地方法務局","和歌山県新宮市緑ヶ丘3-2-64","30041","和歌山県","新宮市","緑ヶ丘3-2-64","0735-22-2757","","８：３０～１７：１５","地上３階 ","土・日・祝祭日・12/29～1/3","◎一般駐車場　有り：６台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎手すり付便所　有り：２箇所","","◎車椅子の常備　有り：１台（１Ｆ入口）","","官公庁舎等","官公庁舎等"
"地域密着型介護老人施設　三寿苑","和歌山市島橋南ノ丁6番21号","28001","和歌山県","和歌山市","島橋南ノ丁6番21号","０７３－４５４－６８００","","９：００～１７：００","地上３階 ","無休","◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","","◎障害者用エレベーター　有り（低位置操作盤・音声案内）","◎障害者（車椅子）用便所　有り：１箇所（１階左応接側）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所<br>◎オストメイト対応便所 有り","","","","文化施設","文化施設"
"ファミリオさいか","和歌山市和歌浦西1丁目１－１９","28002","和歌山県","和歌山市","和歌浦西1丁目１－１９","０７３－４４４－１７６８","","式場使用日：9:00～22:00　式場不使用日：9:00～18:00","地上１階 ","無休","◎一般駐車場　有り：５０台（２ケ所）<br>◎障害者用駐車場　有り：１台（標識なし）","◎施設入口への車椅子利用：可","◎他の誘導設備：インターホン","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（施設に入り左に進み化粧室並びの手前側）<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：１台（施設に入ってすぐ右側に常備している）","","その他","その他"
"上新電機株式会社　和歌山北店","和歌山市平井１２０－１","28003","和歌山県","和歌山市","平井１２０－１","０７３－４５５－６１１１","","平日：10:15～21:00 土日祭日：10:00～21:00","地上１階 ","無休","◎一般駐車場　有り：１３２台<br>◎障害者用駐車場　有り：３台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：１箇所<br>◎オストメイト対応便所 有り<br>◎ベビーチェア 有り<br>◎ベビーベッド 有り","","◎授乳室　有り：１室（店内に入り左に折れて化粧室並びの奥）","・障害者用便所・オストメイト対応設備等は店内に入り左に折れてすぐ右手。ベビーベッドは授乳室に有り。","大規模小売店舗","大規模小売店舗"
"やすらぎの郷　メゾン・ド・シンフォニー","和歌山市粟237番地","28004","和歌山県","和歌山市","粟237番地","０７３－４８０－５３３７","","6:30～17:00と24時間","地上２階 ","なし","◎一般駐車場　有り：１３台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","","◎障害者用エレベーター　有り（点字表示）","◎障害者（車椅子）用便所　有り：３箇所（１階左側廊下）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","文化施設","文化施設"
"有料老人ホーム　セレンディピティ１号館","和歌山市築港４丁目２３－４","28005","和歌山県","和歌山市","築港４丁目２３－４","０７３－４２１－３７７７","","２４時間","地上１階 ","無し","◎一般駐車場　有り：１１台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎他の誘導設備：インターホン","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：３台（玄関に入りすぐの廊下）<br>◎浴室（車椅子用）　有り","","文化施設","文化施設"
"岡内科・胃腸科クリニック","和歌山市木枕４１－１","28006","和歌山県","和歌山市","木枕４１－１","０７３－４９７－５８００","","9:00～12:00、16:00～19:00","地上１階 ","木・土：午後休診、日・祭日","◎一般駐車場　有り：９台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","","","","◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","（◎車椅子の常備　有り：１台（奥の治療室）","","医療施設","医療施設"
"高齢者専用賃貸住宅「やすらぎ」","和歌山市府中１０５－１","28007","和歌山県","和歌山市","府中１０５－１","０７３－４６４－０７７０","","24時間","地上１階 ","無し","◎一般駐車場　有り：１１台<br>◎障害者用駐車場　有り：１台（標識なし）","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（事務所より廊下を挟み正面）<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：２箇所","","◎車椅子の常備　有り：２台（正面玄関より食堂へ入り左隅）<br>◎浴室（車椅子用）　有り","","文化施設","文化施設"
"芝崎集会所","海草郡紀美野町動木363番地１","28008","和歌山県","海草郡","紀美野町動木363番地１","０７３－４８９－２４３０","","地区で利用時","地上１階 ","定め無し","◎一般駐車場　有り：３台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：２箇所","","","","文化施設","文化施設"
"吉見集会所","海草郡紀美野町下佐々字中吉見1752番地１","28009","和歌山県","海草郡","紀美野町下佐々字中吉見1752番地１","０７３－４８９－２４３０","","地区で利用時","地上１階 ","定め無し","◎一般駐車場　有り：１４台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：２箇所","","","","文化施設","文化施設"
"スポーツクラブアドヴァンス岩出","岩出市金池７１－２","28010","和歌山県","岩出市","金池７１－２","０７３６－６３－６３６３","","９：３０～２３：００","地上２階 ","毎週月曜　年末年始　盆　GW","◎一般駐車場　有り：６２台（第2駐車場68台）<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：６箇所","","◎車椅子の常備　有り：１台（１階トイレ前に常備）","※障害者用便所：１階は施設入って左側 受付の向側、２階はマシンジム付近にあります。","その他","その他"
"ひばりケ丘安心ハウス岩出","岩出市岡田字上野６９５－１","28011","和歌山県","岩出市","岡田字上野６９５－１","０７３６－６９－５５５４","","24時間","地上３階 ","なし","◎一般駐車場　有り：２１台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","◎一般案内　有り","◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１２箇所<br>◎洋式大便所　有り：６箇所","","","※障害者用便所：1階は玄関の正面とEV付近の２箇所、２階・３階はEV降りてすぐ右側。","文化施設","文化施設"
"特別養護老人ホーム　ヴィラももの里","紀の川市桃山町最上８７３","28012","和歌山県","紀の川市","桃山町最上８７３","０７３６－６７－７７７７","","-","地上１階 ","-","◎一般駐車場　有り：５２台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：７箇所<br>◎洋式大便所　有り：４箇所","","◎車椅子の常備　有り：5台（廊下、玄関）","※障害者用便所：施設入って奥に進み廊下の左側にあります（厨房付近）。","文化施設","文化施設"
"上新電機株式会社　岩出店","岩出市西野２５","28013","和歌山県","岩出市","西野２５","０７３６－６１－７４１１","","１０：００～２１：００","地上１階 ","無休","◎一般駐車場　有り：１２９台<br>◎障害者用駐車場　有り：３台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：１箇所<br>◎オストメイト対応便所 有り<br>◎ベビーチェア 有り<br>◎ベビーベッド 有り<br>　※1階入口左側","","◎授乳室　有り：１室","","大規模小売店舗","大規模小売店舗"
"ウイング橋本店","橋本市市脇4丁目5-10","28014","和歌山県","橋本市","市脇4丁目5-10","０７３６－３２－１５５５","","１０：００～２３：００","地上１階 ","年中無休","◎一般駐車場　有り：２１６台<br>◎障害者用駐車場　有り：５台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（店内に入り、すぐ右側にある）<br>◎洋式大便所　有り：１１箇所<br>◎手すり付便所　有り：１箇所","","","","その他","その他"
"上新電機株式会社　橋本店","橋本市高野口町伏原818番地","28015","和歌山県","橋本市","高野口町伏原818番地","０７３６－４３－２３５１","","平日：10:15～21:00　土日祝：10:00～21:00","地上２階 ","なし","◎一般駐車場　有り：１０２台<br>◎障害者用駐車場　有り：３台（１F２台、２F１台）","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","◎一般案内　有り","◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：１箇所<br>◎オストメイト対応便所 有り<br>◎ベビーチェア 有り<br>◎ベビーベッド 有り<br>　※店内に入り、すぐ右側にある","","◎授乳室　有り：１室","","大規模小売店舗","大規模小売店舗"
"株式会社紀陽銀行　橋本彩の台支店","橋本市隅田町垂井130番地の１","28016","和歌山県","橋本市","隅田町垂井130番地の１","０７３６－３３－３２００","","９：００～１５：００","地上１階 ","土曜・日曜・祝祭日","◎一般駐車場　有り：２７台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り<br>◎他の誘導設備：誘導ブロックに替えたインターホン","◎一般案内　有り<br>◎点字案内　有り（誘導ブロックに替えたインターホン部分に有り）","","◎障害者（車椅子）用便所　有り：１箇所（店内入り、奥に進み受付の右側奥にある）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","金融機関_郵便局","金融機関_郵便局"
"高野口小学校屋内運動場","橋本市高野口町大字名倉２２６","28017","和歌山県","橋本市","高野口町大字名倉２２６","０７３６－４２－２０６１","","８：３０～１７：３０","地上２階 ","土日、祝日・年末年始","◎一般駐車場　有り：１０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所（施設に入りすぐ左側にある）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","文化施設","文化施設"
"松岡医院","橋本市高野口町名倉１８６－１","28018","和歌山県","橋本市","高野口町名倉１８６－１","０７３６－４２－２１１７","","９：００～１２：００　１６：００～１８：３０","地上２階 ","日祝日、水・土の午後","◎一般駐車場　有り：９台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎他の誘導設備：インターホン","","","◎障害者（車椅子）用便所　有り：１箇所（入口のすぐ右側にある）<br>◎洋式大便所　有り：１箇所","","","","医療施設","医療施設"
"医療法人　南労会　紀和クリニック","和歌山県橋本市岸上２３－１","28019","和歌山県","橋本市","岸上２３－１","０７３６－３４－１２５５","","９：００～１２：００　１３：３０～１６：００","地上１階 ","土日祝日、水曜・木曜の午後","◎一般駐車場　有り：別の敷地有り<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（施設入り右側奥にある）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：１箇所<br>◎ベビーベッド 有り","","◎車椅子の常備　有り：１０台（施設入口すぐ右側に常備している）","","医療施設","医療施設"
"ありだ農業協同組合　湯浅支所","有田郡湯浅町大字湯浅２１６０番地の４","28020","和歌山県","有田郡","湯浅町大字湯浅２１６０番地の４","０７３７－６２－４５７１","","８：３０～１７：００","地上２階 ","土日・祝日・年末年始","◎一般駐車場　有り：１３台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（１階奥　建物裏扉近く）<br>◎洋式大便所　有り：１箇所","","","","金融機関_郵便局","金融機関_郵便局"
"田海岸公衆トイレ","湯浅町田地先","28021","和歌山県","有田郡","湯浅町田地先","０７３７－６３－２５２５","","24時間","地上１階 ","無休","◎障害者用駐車場　有り：１台","","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（独立公衆トイレ内にある）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","トイレ","トイレ"
"ごりょうの郷　別館（第二葬祭場）","有田郡有田川町徳田５０３－１","28022","和歌山県","有田郡","有田川町徳田５０３－１","０７３７－３２－２００３","","終日","地上１階 ","なし","◎一般駐車場　有り：１８台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所（控え室の隣）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：１箇所","◎車椅子用電話　有り：１箇所","◎車椅子の常備　有り：１台（入口付近に常備）","","その他","その他"
"ふれあい作業所","有田郡有田川町徳田１４１７番地","28023","和歌山県","有田郡","有田川町徳田１４１７番地","０７３７－２２－７１１７","","１０：００～１５：３０","地上２階 ","土日・祝日・年末年始・盆休み","◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（１F）<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：１箇所","","","","その他","その他"
"御坊・日高障害者総合相談センター","御坊市島３６９","28024","和歌山県","御坊市","島３６９","０７３８－２３－５６４５","","８：３０～１７：３０","地上１階 ","土日・祝日・年末年始","◎一般駐車場　有り：８台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","","","◎障害者（車椅子）用便所　有り：１箇所（１F左側）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","その他","その他"
"日高川交流センター","日高郡日高川町大字高津尾７１８－３","28025","和歌山県","日高郡","日高川町大字高津尾７１８－３","０７３８－５４－０３２６","","９：００～１７：３０（夜間利用がある場合は２２：００）","地上３階 ","年末年始","◎一般駐車場　有り：１５１台<br>◎障害者用駐車場　有り：３台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示）","◎障害者（車椅子）用便所　有り：２箇所<br>◎洋式大便所　有り：１３箇所<br>◎手すり付便所　有り：５箇所<br>◎オストメイト対応便所 有り<br>◎ベビーチェア 有り<br>◎ベビーベッド 有り<br>※施設入口すぐ左側","","◎車椅子の常備　有り：１台（施設入口すぐ左側に常備）","","文化施設","文化施設"
