"名称","住所","住所1","住所2","住所3","電話","FAX","利用時間","階数","定休日","駐車場","敷地内の状況および施設入口","誘導施設","案内設備","昇降設備","トイレ","公衆電話","その他の設備","備考","カテゴリー","経度","緯度","分類"
"ひばりケ丘安心ハウス岩出","岩出市岡田字上野６９５－１","和歌山県","岩出市","岡田字上野６９５－１","０７３６－６９－５５５４","","24時間","地上３階 ","なし","◎一般駐車場　有り：２１台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","◎一般案内　有り","◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１２箇所<br>◎洋式大便所　有り：６箇所","","","※障害者用便所：1階は玄関の正面とEV付近の２箇所、２階・３階はEV降りてすぐ右側。","文化施設","135.33304219775","34.2563459148672","文化施設"
"特別養護老人ホーム　ヴィラももの里","紀の川市桃山町最上８７３","和歌山県","紀の川市","桃山町最上８７３","０７３６－６７－７７７７","","-","地上１階 ","-","◎一般駐車場　有り：５２台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：７箇所<br>◎洋式大便所　有り：４箇所","","◎車椅子の常備　有り：5台（廊下、玄関）","※障害者用便所：施設入って奥に進み廊下の左側にあります（厨房付近）。","文化施設","135.350585258872","34.2219924627864","文化施設"
"上新電機株式会社　岩出店","岩出市西野２５","和歌山県","岩出市","西野２５","０７３６－６１－７４１１","","１０：００～２１：００","地上１階 ","無休","◎一般駐車場　有り：１２９台<br>◎障害者用駐車場　有り：３台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：１箇所<br>◎オストメイト対応便所 有り<br>◎ベビーチェア 有り<br>◎ベビーベッド 有り<br>　※1階入口左側","","◎授乳室　有り：１室","","大規模小売店舗","135.306436689616","34.2609217283048","大規模小売店舗"
"ウイング橋本店","橋本市市脇4丁目5-10","和歌山県","橋本市","市脇4丁目5-10","０７３６－３２－１５５５","","１０：００～２３：００","地上１階 ","年中無休","◎一般駐車場　有り：２１６台<br>◎障害者用駐車場　有り：５台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（店内に入り、すぐ右側にある）<br>◎洋式大便所　有り：１１箇所<br>◎手すり付便所　有り：１箇所","","","","その他","135.600999932294","34.3112689990373","その他"
"上新電機株式会社　橋本店","橋本市高野口町伏原818番地","和歌山県","橋本市","高野口町伏原818番地","０７３６－４３－２３５１","","平日：10:15～21:00　土日祝：10:00～21:00","地上２階 ","なし","◎一般駐車場　有り：１０２台<br>◎障害者用駐車場　有り：３台（１F２台、２F１台）","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","◎一般案内　有り","◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：１箇所<br>◎オストメイト対応便所 有り<br>◎ベビーチェア 有り<br>◎ベビーベッド 有り<br>　※店内に入り、すぐ右側にある","","◎授乳室　有り：１室","","大規模小売店舗","135.576954210905","34.3087167733802","大規模小売店舗"
"株式会社紀陽銀行　橋本彩の台支店","橋本市隅田町垂井130番地の１","和歌山県","橋本市","隅田町垂井130番地の１","０７３６－３３－３２００","","９：００～１５：００","地上１階 ","土曜・日曜・祝祭日","◎一般駐車場　有り：２７台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り<br>◎他の誘導設備：誘導ブロックに替えたインターホン","◎一般案内　有り<br>◎点字案内　有り（誘導ブロックに替えたインターホン部分に有り）","","◎障害者（車椅子）用便所　有り：１箇所（店内入り、奥に進み受付の右側奥にある）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","金融機関_郵便局","135.650591928457","34.3335739418927","金融機関_郵便局"
"高野口小学校屋内運動場","橋本市高野口町大字名倉２２６","和歌山県","橋本市","高野口町大字名倉２２６","０７３６－４２－２０６１","","８：３０～１７：３０","地上２階 ","土日、祝日・年末年始","◎一般駐車場　有り：１０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所（施設に入りすぐ左側にある）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","文化施設","135.551456031907","34.3037776409462","文化施設"
"松岡医院","橋本市高野口町名倉１８６－１","和歌山県","橋本市","高野口町名倉１８６－１","０７３６－４２－２１１７","","９：００～１２：００　１６：００～１８：３０","地上２階 ","日祝日、水・土の午後","◎一般駐車場　有り：９台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎他の誘導設備：インターホン","","","◎障害者（車椅子）用便所　有り：１箇所（入口のすぐ右側にある）<br>◎洋式大便所　有り：１箇所","","","","医療施設","135.555068076315","34.3025532150678","医療施設"
"医療法人　南労会　紀和クリニック","和歌山県橋本市岸上２３－１","和歌山県","橋本市","岸上２３－１","０７３６－３４－１２５５","","９：００～１２：００　１３：３０～１６：００","地上１階 ","土日祝日、水曜・木曜の午後","◎一般駐車場　有り：別の敷地有り<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（施設入り右側奥にある）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：１箇所<br>◎ベビーベッド 有り","","◎車椅子の常備　有り：１０台（施設入口すぐ右側に常備している）","","医療施設","135.583470076794","34.3056817209425","医療施設"
"ありだ農業協同組合　湯浅支所","有田郡湯浅町大字湯浅２１６０番地の４","和歌山県","有田郡","湯浅町大字湯浅２１６０番地の４","０７３７－６２－４５７１","","８：３０～１７：００","地上２階 ","土日・祝日・年末年始","◎一般駐車場　有り：１３台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（１階奥　建物裏扉近く）<br>◎洋式大便所　有り：１箇所","","","","金融機関_郵便局","135.186273695415","34.0384198352876","金融機関_郵便局"
"田海岸公衆トイレ","湯浅町田地先","和歌山県","有田郡","湯浅町田地先","０７３７－６３－２５２５","","24時間","地上１階 ","無休","◎障害者用駐車場　有り：１台","","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（独立公衆トイレ内にある）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","トイレ","135.147112965075","34.0554257636935","トイレ"
"ごりょうの郷　別館（第二葬祭場）","有田郡有田川町徳田５０３－１","和歌山県","有田郡","有田川町徳田５０３－１","０７３７－３２－２００３","","終日","地上１階 ","なし","◎一般駐車場　有り：１８台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所（控え室の隣）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：１箇所","◎車椅子用電話　有り：１箇所","◎車椅子の常備　有り：１台（入口付近に常備）","","その他","135.244715343697","34.0618393476831","その他"
"ふれあい作業所","有田郡有田川町徳田１４１７番地","和歌山県","有田郡","有田川町徳田１４１７番地","０７３７－２２－７１１７","","１０：００～１５：３０","地上２階 ","土日・祝日・年末年始・盆休み","◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（１F）<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：１箇所","","","","その他","135.243204296216","34.0545677996301","その他"
"御坊・日高障害者総合相談センター","御坊市島３６９","和歌山県","御坊市","島３６９","０７３８－２３－５６４５","","８：３０～１７：３０","地上１階 ","土日・祝日・年末年始","◎一般駐車場　有り：８台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","","","◎障害者（車椅子）用便所　有り：１箇所（１F左側）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","その他","135.161665632013","33.888419901695","その他"
"日高川交流センター","日高郡日高川町大字高津尾７１８－３","和歌山県","日高郡","日高川町大字高津尾７１８－３","０７３８－５４－０３２６","","９：００～１７：３０（夜間利用がある場合は２２：００）","地上３階 ","年末年始","◎一般駐車場　有り：１５１台<br>◎障害者用駐車場　有り：３台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示）","◎障害者（車椅子）用便所　有り：２箇所<br>◎洋式大便所　有り：１３箇所<br>◎手すり付便所　有り：５箇所<br>◎オストメイト対応便所 有り<br>◎ベビーチェア 有り<br>◎ベビーベッド 有り<br>※施設入口すぐ左側","","◎車椅子の常備　有り：１台（施設入口すぐ左側に常備）","","文化施設","135.295322168472","33.9592596348178","文化施設"
"御坊市立　財部会館","御坊市湯川町財部４８５","和歌山県","御坊市","湯川町財部４８５","０７３８－２３－２３９４","","９：００～１２：００　１３：００～１４：３０","地上２階 ","土日・祝日","◎一般駐車場　有り：２４台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り<br>◎他の誘導設備：階段手摺りに点字あり","","","◎障害者（車椅子）用便所　有り：１箇所（入口通路右側）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：１台（入口左側）","","文化施設","135.152706643569","33.9014131717503","文化施設"
"阿戸公衆便所","日高郡由良町阿戸１００２－３７","和歌山県","日高郡","由良町阿戸１００２－３７","０７３８－６５－１８０１","","２４時間","地上１階 ","無休","<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（独立公衆トイレ内にある）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","トイレ","135.111476507012","33.9561456359951","トイレ"
"由良町立　由良中学校","日高郡由良町大字阿戸７０８番地の１","和歌山県","日高郡","由良町大字阿戸７０８番地の１","０７３８－６５－００４９","","８：３０～１７：３０","地上３階 ","土日・祝日・年末年始","◎一般駐車場　有り：４４台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎他の誘導設備：インターホン","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所（職員室の正面）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","文化施設","135.116411168638","33.9590451014453","文化施設"
"日高川町立　みやま保育園","日高川町川原河２０４","和歌山県","日高郡","日高川町川原河２０４","０７３８－５６－０３９３","","（月）～（金）８：００～１６：００、（土）８：００～１１：３０","地上１階 ","日曜、祝日、12月29日～1月4日","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","","","◎障害者（車椅子）用便所　有り：１箇所（施設入ってすぐ左側、たんぽぽ組教室の前）<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：１箇所","","","","文化施設","135.367567257989","33.982195094109","文化施設"
"寒川保育園","日高川町寒川１３０","和歌山県","日高郡","日高川町寒川１３０","０７３８－５８－０２１３","","（月）～（金）８：００～１６：００、（土）８：００～１１：３０","地上１階 ","日曜、祝日、12月29日～1月4日","<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","文化施設","135.465186545111","33.9541641104952","文化施設"
"日高港塩屋緑地","御坊市塩屋町南塩屋４５０番２６","和歌山県","御坊市","塩屋町南塩屋４５０番２６","０７３８－２２－４１１１","","24時間","地上１階 ","無休","◎一般駐車場　有り：１６台<br>◎障害者用駐車場　有り：１台","","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（独立公衆トイレ）","","","","トイレ","135.159714332141","33.8671949924682","トイレ"
"和歌山県立　紀央館高等学校","御坊市湯川町小松原４３の１","和歌山県","御坊市","湯川町小松原４３の１","０７３８－２２－４０１１","","８：３０～１７：３０","地上３階 ","土日・祝日・年末年始","◎一般駐車場　有り：２５台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所（正面入口左側）<br>◎手すり付便所　有り：１箇所","","","","文化施設","135.161480871076","33.9065472990103","文化施設"
"JA紀南　二川多目的ホール","田辺市中辺路町川合１４９６","和歌山県","田辺市","中辺路町川合１４９６","０７３９－６４－０３００","","定まっていない","地上１階 ","なし","◎一般駐車場　有り：８台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（施設入りホール手前右側）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：１台（ホール手前右側に常備）","","その他","135.526081962051","33.8013331863881","その他"
"あすなろ第1、第2学童保育所　","西牟婁郡上富田町朝来２７５０（朝来小学校内）","和歌山県","西牟婁郡","上富田町朝来２７５０（朝来小学校内）","０７３９－４７－５９３０（上富田町教育委員会）","","学校終業後～１７：３０","地上１階 ","日曜","◎一般駐車場　有り：６４台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（あすなろ第一学童保育所入り右側）<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：１箇所","","","","文化施設","135.420851880334","33.6982944603495","文化施設"
"上富田地域交流センター","上富田町生馬字松尾３１６番地の５５他","和歌山県","西牟婁郡","上富田町生馬字松尾３１６番地の５５他","０７３９－４７－５９３０（上富田町教育委員会生涯学習課）","","８：３０～１７：３０","地上２階 ","日曜","◎一般駐車場　有り：９台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（施設入口右側、受付の左側）<br>◎洋式大便所　有り：２箇所","","","","文化施設","135.427523740853","33.7180408191916","文化施設"
"栗山医院","田辺市本宮町請川５５－１８","和歌山県","田辺市","本宮町請川５５－１８","０７３５－４２－００１３","","９：００～１２：００　１４：００～１６：００","地上１階 ","金、日祝日、土曜午後","◎一般駐車場　有り：３台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","","","◎障害者（車椅子）用便所　有り：１箇所（施設入り受付の向側）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：１台（受付前廊下突き当り診察室付近に常備）","","医療施設","135.78366160447","33.8232499660104","医療施設"
"医療法人　淳風会　熊野路クリニック","新宮市緑ヶ丘２丁目１番２０号","和歌山県","新宮市","緑ヶ丘２丁目１番２０号","０７３５－２１－２１１０","","９：００～２１：００、４：００～６：３０","地上１階 ","日祝日","◎一般駐車場　有り：２０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（施設入りすぐ左側）<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：３箇所","","◎車椅子の常備　有り：５台（施設入り左側の廊下に常備）","","医療施設","135.990213348417","33.7210931789737","医療施設"
"調剤薬局　ネットワーク榎原店","和歌山市榎原２０４－２０","和歌山県","和歌山市","榎原２０４－２０","０７３－４５５－１５５７","","月～金９：００～１９：００、木９：００～１７：００、土９：００～１３：００","地上２階 ","日・祝日・休局","◎一般駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","","","","","","","大規模小売店舗","135.125245714439","34.2543370199413","大規模小売店舗"
"コンプラベルデⅠ","和歌山市北島４５３－１","和歌山県","和歌山市","北島４５３－１","管理委託会社　ランドシステム（株）０７３－４７５－０７７０","","各店舗により異なる","地上２階 ","各店舗により異なる","◎一般駐車場　有り：３７台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り<br>※１･２階合わせて８店舗があり各店ごとに入口あり。","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・音声案内）","◎洋式大便所　有り：４箇所","","","","大規模小売店舗","135.155412878136","34.2380681870627","大規模小売店舗"
"コンプラベルデⅡ","和歌山市北島４５３－１","和歌山県","和歌山市","北島４５３－１","管理委託会社　ランドシステム（株）０７３－４７５－０７７０","","各店舗により異なる","地上２階 ","各店舗により異なる","◎一般駐車場　有り：２１台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>※１･２階に店舗があり各店ごとに入口有り。２階には階段のみ。","◎誘導ブロック　有り","◎一般案内　有り","","◎洋式大便所　有り：各店舗に有り","","","","大規模小売店舗","135.155913893453","34.2384457734611","大規模小売店舗"
"(株)INAX和歌山ショールーム","和歌山市三葛２５５－５","和歌山県","和歌山市","三葛２５５－５","０７３－４４７－１７１０","","１０：００～１９：００","地上２階 ","火・水　年末年始・夏休み","◎一般駐車場　有り：１８台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","","","◎障害者（車椅子）用便所　有り：１箇所（ショールーム内奥側）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所<br>◎ベビーベッド 有り","","","","大規模小売店舗","135.185339225128","34.1908781012645","大規模小売店舗"
"市脇調剤薬局","橋本市市脇１丁目６５番地","和歌山県","橋本市","市脇１丁目６５番地","０７３６－３９－０３５５","","９：００～１９：００","地上１階 ","日・祝・土曜の午後","<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","","","◎障害者（車椅子）用便所　有り：１箇所（店内入りすぐ右側）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","大規模小売店舗","135.600818401718","34.3147193525298","大規模小売店舗"
"平間区民会館","白浜町十九渕５２","和歌山県","西牟婁郡","白浜町十九渕５２","０７３９－４５－０６８４（区長宅）","","地区で利用時","地上１階 ","なし","◎一般駐車場　有り：１台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（施設入り右側奥）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所<br>◎ベビーベッド 有り","◎車椅子用電話　有り：１箇所","","","文化施設","135.3993203967","33.6613573640726","文化施設"
"奥野クリニック","橋本市御幸辻１４８番地の１","和歌山県","橋本市","御幸辻１４８番地の１","０７３６－３４－００１０","","９：００～１２：００　１６：００～１９：００","地上１階 ","日祝祭日","◎一般駐車場　有り：１１台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎他の誘導設備：インターホン","","","◎障害者（車椅子）用便所　有り：１箇所（店内入ってすぐ右側）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：１台（店内入って右側の物置に常備）","","医療施設","135.605566294456","34.3369555386983","医療施設"
"紀南農業協同組合　芳養支所","田辺市芳養松原一丁目１２－１","和歌山県","田辺市","芳養松原一丁目１２－１","０７３９－２２－５４３０","","８：３０～１７：３０","地上２階 ","土曜、日祝祭日","◎一般駐車場　有り：８台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（店内入り右側）<br>◎洋式大便所　有り：４箇所","","◎キャッシュコーナー　有り","","金融機関_郵便局","135.355128038754","33.7465022152776","金融機関_郵便局"
"たなかの社","田辺市芳養町３２１６－１９","和歌山県","田辺市","芳養町３２１６－１９","０７３９－２６－１３１０","","９：００～１５：００","地上２階 ","日祝祭日、第2､4､5土曜日","◎一般駐車場　有り：５０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り<br>◎他の誘導設備：インターホン","","","◎障害者（車椅子）用便所　有り：１箇所（施設入り右側）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：1台（施設入口の正面に常備）","","文化施設","135.369248231519","33.7599096962793","文化施設"
"岡地区　公衆トイレ","西牟婁郡上富田町岡１３３６－２","和歌山県","西牟婁郡","上富田町岡１３３６－２","管理者　０７３９－４７－０５５０（上富田町役場　総務政策課）","","２４時間","地上１階 ","なし","◎一般駐車場　有り：１１台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（独立公衆トイレ内にある）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：１箇所<br>◎オストメイト対応便所 有り<br>◎ベビーチェア 有り<br>◎ベビーベッド 有り","","","","トイレ","135.440051237739","33.7267382193636","トイレ"
"箕島駅前公衆トイレ","有田市箕島８９４－２の一部、８９０－２の一部","和歌山県","有田市","箕島８９４－２の一部、８９０－２の一部","０７３７－８３－１１１１","","２４時間","地上１階 ","なし","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り<br>◎点字案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（独立公衆トイレ内にある）<br>◎手すり付便所　有り：１箇所<br>◎オストメイト対応便所 有り<br>◎ベビーベッド 有り","","","","トイレ","135.124789966593","34.0859690372504","トイレ"
"クローバーの郷","和歌山市杭ノ瀬449-2","和歌山県","和歌山市","杭ノ瀬449-2","０７３－４７４－００９８","","２４時間","地上２階 ","無し","◎一般駐車場　有り：４台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア有り","◎誘導ブロック　有り","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・音声案内）","◎障害者（車椅子）用便所　有り：２箇所<br>◎洋式大便所　有り：２４箇所","","◎車椅子の常備　有り：３台","","文化施設","135.190315861454","34.2048566586672","文化施設"
"紀三井寺公園緑道公衆便所","和歌山市毛見２００","和歌山県","和歌山市","毛見２００","０７３－４４４－７５６５","","常時利用可","地上１階 ","特になし","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り<br>◎オストメイト対応便所 有り<br>◎ベビーチェア 有り<br>◎ベビーベッド 有り<br>※多目的トイレ内","","","","トイレ","135.188512640998","34.1687324126176","トイレ"
"紀三井寺公園児童公園公衆便所","和歌山市毛見２００","和歌山県","和歌山市","毛見２００","０７３－４４４－７５６５","","常時利用可","地上１階 ","特になし","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：１箇所<br>◎オストメイト対応便所 有り<br>◎ベビーチェア 有り<br>◎ベビーベッド 有り<br>※多目的トイレ内","","","","トイレ","135.191617313778","34.1680339413331","トイレ"
"ひなたの里","田辺市上芳養４３７－３","和歌山県","田辺市","上芳養４３７－３","０７３９－３７－１１１５","０７３９－３７－１１１６","８：３０～１６：１５","地上1階","無休","◎一般駐車場　有り：８台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：２箇所","","◎車椅子の常備　有り：１台","","","135.36240912706","33.799273849484","文化施設"
"港公園便所<br>","和歌山市築港4丁目14番地の一部<br>","","","","073－435－1076<br>","","24時間<br>","地上１階 <br>","","","","◎誘導ブロック　有り<br>","","","&quot;◎障害者（車椅子）用便所　有り：1箇所<br>◎洋式大便所　有り：2箇所<br>◎手すり付便所　有り：2箇所<br>◎オストメイト対応便所 有り&quot;<br>","","","","トイレ<br>","135.153609991972","34.2207431983711","トイレ"
"第三銀行　和歌山支店","和歌山市六番丁25番地","","","","073－431－1211","","9：00～15：00（窓口）<br>7：00～21：00（ATM)","地上2階","土日祝日（窓口）<br>休日なし（ＡＴＭ）<br>","&quot;◎一般駐車場　有り：２台<br>◎障害者用駐車場　有り：１台&quot;<br>","&quot;◎施設入口への車椅子利用：可<br>◎自動ドア有り&quot;<br>","◎誘導ブロック　有り<br>","◎一般案内　有り<br>","","&quot;◎障害者（車椅子）用便所　有り：1箇所<br>◎洋式大便所　有り：1箇所<br>◎手すり付便所　有り：1箇所<br>◎オストメイト対応便所 有り&quot;<br>","","キャッシュコーナー<br>点字付自動支払機","","","135.176000982553","34.2301542476515","金融機関_郵便局"
"なごみの郷　あゆむ","和歌山市西庄92－7","","","","073－488－5366","","8：00～17：30","地上1階","土日","","◎施設入口への車椅子利用：可<br>","◎誘導ブロック　有り<br>","","","&quot;◎障害者（車椅子）用便所　有り：1箇所<br>◎洋式大便所　有り：1箇所<br>◎手すり付便所　有り：1箇所&quot;<br>","","ホールに車椅子を2台常備","","","135.119681422537","34.262647527719","その他"
"芦原文化会館
","和歌山市島崎町6丁目13-2
","和歌山県","和歌山市","島崎町6丁目13－2","073-423-5041
","","8:30～17:15
","地上２階 
","日曜日、祝日
",""◎一般駐車場　有り：２３台
◎障害者用駐車場　有り：１台"
",""◎施設入口への車椅子利用：可
◎自動ドア有り"
","◎誘導ブロック　有り
","◎一般案内　有り
",""◎一般用エレベーター　有り
◎障害者用エレベーター　有り（点字表示）"
",""◎障害者（車椅子）用便所　有り：1箇所
◎洋式大便所　有り：9箇所
◎手すり付便所　有り：9箇所
◎オストメイト対応便所 有り
◎ベビーチェア 有り
◎ベビーベッド 有り"
","","","","","135.178765650366","34.2175682168786","文化施設"
"医療施設
","有田市箕島904

","和歌山県","有田市","箕島904","0737-83-0078
","0737-83-0079
","7:30～21:00
","地上５階 
","休診日：日曜・祝日・年末年始
",""◎一般駐車場　有り：２２台
◎障害者用駐車場　有り：３台"
",""◎施設入口への車椅子利用：可
◎自動ドア有り"
","◎誘導ブロック　有り
","◎一般案内　有り
",""◎一般用エレベーター　有り
◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）"
",""◎障害者（車椅子）用便所　有り：8箇所
◎洋式大便所　有り：20箇所
◎手すり付便所　有り：15箇所
◎オストメイト対応便所 有り
◎ベビーチェア 有り
◎ベビーベッド 有り"
","◎車椅子用電話　有り：1箇所
",""◎授乳室等　有り：1室
◎車椅子の常備　有り：56台"
","◎皆様が安心して診察や治療に専念出来るよう、院内すべてをバリアフリー設計とし、お年寄りやお身体の不自由な方にも配慮をしております。
","","135.123539306777","34.0857226175431","医療施設"
"紀の梅クリーンセンター
","紀の川市桃山町最上1290-94
","和歌山県","紀の川市","桃山町最上1290-94
","0736-66-1813
","","8:30～17:00
","地上６階 
","土・日・祭日
",""◎一般駐車場　有り：２８台
◎障害者用駐車場　有り：４台"
",""◎施設入口への車椅子利用：可
◎自動ドア有り"

